"service_id","date","exception_type"
"86FC7E91","20250804","1"
"86FC7E91","20250805","1"
"86FC7E91","20250806","1"
"86FC7E91","20250807","1"
"86FC7E91","20250808","1"
"86FC7E91","20250811","1"
"86FC7E91","20250812","1"
"86FC7E91","20250813","1"
"86FC7E91","20250814","1"
"86FC7E91","20250815","1"
"86FC7E91","20250818","1"
"86FC7E91","20250819","1"
"86FC7E91","20250820","1"
"86FC7E91","20250821","1"
"86FC7E91","20250822","1"
"86FC7E91","20250825","1"
"86FC7E91","20250826","1"
"86FC7E91","20250827","1"
"86FC7E91","20250828","1"
"86FC7E91","20250829","1"
"49405B95","20250809","1"
"49405B95","20250810","1"
"49405B95","20250816","1"
"49405B95","20250817","1"
"49405B95","20250823","1"
"49405B95","20250824","1"
"49405B95","20250830","1"
"49405B95","20250831","1"
"49405B95","20250901","1"
"2A095681","20250805","1"
"2A095681","20250806","1"
"2A095681","20250807","1"
"2A095681","20250808","1"
"2A095681","20250812","1"
"2A095681","20250813","1"
"2A095681","20250814","1"
"2A095681","20250815","1"
"2A095681","20250819","1"
"2A095681","20250820","1"
"2A095681","20250821","1"
"2A095681","20250822","1"
"2A095681","20250826","1"
"2A095681","20250827","1"
"2A095681","20250828","1"
"2A095681","20250829","1"
"C2C8C68B","20250804","1"
"C2C8C68B","20250811","1"
"C2C8C68B","20250818","1"
"C2C8C68B","20250825","1"
"1D0EF359","20250807","1"
"1D0EF359","20250814","1"
"1D0EF359","20250821","1"
"1D0EF359","20250828","1"
"26173A5E","20250807","1"
"26173A5E","20250808","1"
"26173A5E","20250814","1"
"26173A5E","20250815","1"
"26173A5E","20250821","1"
"26173A5E","20250822","1"
"26173A5E","20250828","1"
"26173A5E","20250829","1"
"95BDE247","20250808","1"
"95BDE247","20250815","1"
"95BDE247","20250822","1"
"95BDE247","20250829","1"
"B2805F38","20250804","1"
"B2805F38","20250805","1"
"B2805F38","20250806","1"
"B2805F38","20250807","1"
"B2805F38","20250811","1"
"B2805F38","20250812","1"
"B2805F38","20250813","1"
"B2805F38","20250814","1"
"B2805F38","20250818","1"
"B2805F38","20250819","1"
"B2805F38","20250820","1"
"B2805F38","20250821","1"
"B2805F38","20250825","1"
"B2805F38","20250826","1"
"B2805F38","20250827","1"
"B2805F38","20250828","1"
"4E5A9E7D","20250804","1"
"4E5A9E7D","20250805","1"
"4E5A9E7D","20250806","1"
"4E5A9E7D","20250811","1"
"4E5A9E7D","20250812","1"
"4E5A9E7D","20250813","1"
"4E5A9E7D","20250818","1"
"4E5A9E7D","20250819","1"
"4E5A9E7D","20250820","1"
"4E5A9E7D","20250825","1"
"4E5A9E7D","20250826","1"
"4E5A9E7D","20250827","1"
"7221CBB0","20250809","1"
"7221CBB0","20250816","1"
"7221CBB0","20250823","1"
"7221CBB0","20250830","1"
"758D105C","20250810","1"
"758D105C","20250817","1"
"758D105C","20250824","1"
"758D105C","20250901","1"
"75592BAC","20250809","1"
"75592BAC","20250816","1"
"75592BAC","20250823","1"
"75592BAC","20250830","1"
"75592BAC","20250831","1"
"4F7991FB","20250804","1"
"4F7991FB","20250805","1"
"4F7991FB","20250807","1"
"4F7991FB","20250808","1"
"4F7991FB","20250811","1"
"4F7991FB","20250812","1"
"4F7991FB","20250813","1"
"4F7991FB","20250814","1"
"4F7991FB","20250815","1"
"08047998","20250806","1"
"08047998","20250818","1"
"08047998","20250819","1"
"08047998","20250820","1"
"08047998","20250821","1"
"08047998","20250822","1"
"08047998","20250825","1"
"08047998","20250826","1"
"08047998","20250827","1"
"08047998","20250828","1"
"08047998","20250829","1"
"C10E924C","20250804","1"
"C10E924C","20250805","1"
"C10E924C","20250806","1"
"C10E924C","20250807","1"
"C10E924C","20250808","1"
"C10E924C","20250811","1"
"C10E924C","20250812","1"
"C10E924C","20250813","1"
"C10E924C","20250814","1"
"C10E924C","20250815","1"
"AFEFC9F7","20250818","1"
"AFEFC9F7","20250819","1"
"AFEFC9F7","20250820","1"
"AFEFC9F7","20250821","1"
"AFEFC9F7","20250822","1"
"AFEFC9F7","20250825","1"
"AFEFC9F7","20250826","1"
"AFEFC9F7","20250827","1"
"AFEFC9F7","20250828","1"
"AFEFC9F7","20250829","1"
"F2E463B2","20250804","1"
"F2E463B2","20250805","1"
"F2E463B2","20250806","1"
"F2E463B2","20250807","1"
"F2E463B2","20250811","1"
"F2E463B2","20250812","1"
"F2E463B2","20250813","1"
"F2E463B2","20250814","1"
"F2E463B2","20250818","1"
"F2E463B2","20250819","1"
"F2E463B2","20250820","1"
"F2E463B2","20250821","1"
"F2E463B2","20250822","1"
"F2E463B2","20250825","1"
"F2E463B2","20250826","1"
"F2E463B2","20250827","1"
"F2E463B2","20250828","1"
"F2E463B2","20250829","1"
"1872C001","20250823","1"
"1872C001","20250824","1"
"1872C001","20250830","1"
"1872C001","20250831","1"
"1872C001","20250901","1"
"EC25BC55","20250805","1"
"EC25BC55","20250806","1"
"EC25BC55","20250807","1"
"EC25BC55","20250808","1"
"EC25BC55","20250812","1"
"EC25BC55","20250813","1"
"EC25BC55","20250814","1"
"EC25BC55","20250815","1"
"EC25BC55","20250819","1"
"EC25BC55","20250820","1"
"EC25BC55","20250821","1"
"EC25BC55","20250822","1"
"EC25BC55","20250825","1"
"EC25BC55","20250826","1"
"EC25BC55","20250827","1"
"EC25BC55","20250828","1"
"EC25BC55","20250829","1"
"F7F217AD","20250808","1"
"F7F217AD","20250811","1"
"F7F217AD","20250812","1"
"F7F217AD","20250813","1"
"F7F217AD","20250814","1"
"F7F217AD","20250815","1"
"F7F217AD","20250818","1"
"F7F217AD","20250819","1"
"F7F217AD","20250820","1"
"F7F217AD","20250821","1"
"F7F217AD","20250822","1"
"F7F217AD","20250825","1"
"F7F217AD","20250826","1"
"F7F217AD","20250827","1"
"F7F217AD","20250828","1"
"F7F217AD","20250829","1"
"CA1BCED7","20250804","1"
"CA1BCED7","20250805","1"
"CA1BCED7","20250806","1"
"CA1BCED7","20250807","1"
"D562AB8C","20250809","1"
"D562AB8C","20250816","1"
"D562AB8C","20250823","1"
"B8F0A160","20250808","1"
"B8F0A160","20250813","1"
"1CB62C68","20250804","1"
"1CB62C68","20250805","1"
"1CB62C68","20250806","1"
"1CB62C68","20250807","1"
"1CB62C68","20250811","1"
"1CB62C68","20250812","1"
"1CB62C68","20250814","1"
"1CB62C68","20250815","1"
"1CB62C68","20250818","1"
"1CB62C68","20250819","1"
"1CB62C68","20250820","1"
"1CB62C68","20250821","1"
"1CB62C68","20250822","1"
"1CB62C68","20250825","1"
"1CB62C68","20250826","1"
"1CB62C68","20250827","1"
"1CB62C68","20250828","1"
"1CB62C68","20250829","1"
"186BF8A8","20250808","1"
"186BF8A8","20250813","1"
"186BF8A8","20250822","1"
"DE76FF23","20250804","1"
"DE76FF23","20250805","1"
"DE76FF23","20250806","1"
"DE76FF23","20250807","1"
"DE76FF23","20250811","1"
"DE76FF23","20250812","1"
"DE76FF23","20250814","1"
"DE76FF23","20250815","1"
"DE76FF23","20250818","1"
"DE76FF23","20250819","1"
"DE76FF23","20250820","1"
"DE76FF23","20250821","1"
"DE76FF23","20250825","1"
"DE76FF23","20250826","1"
"DE76FF23","20250827","1"
"DE76FF23","20250828","1"
"DE76FF23","20250829","1"
"7E46A003","20250810","1"
"7E46A003","20250816","1"
"7E46A003","20250817","1"
"7E46A003","20250823","1"
"7E46A003","20250824","1"
"7E46A003","20250830","1"
"7E46A003","20250831","1"
"7E46A003","20250901","1"
"D8D8F50F","20250809","1"
"8572A985","20250810","1"
"8572A985","20250817","1"
"8572A985","20250824","1"
"8572A985","20250830","1"
"8572A985","20250831","1"
"8572A985","20250901","1"
"0D054AE0","20250809","1"
"0D054AE0","20250823","1"
"06416BC7","20250810","1"
"06416BC7","20250816","1"
"06416BC7","20250817","1"
"06416BC7","20250824","1"
"06416BC7","20250830","1"
"06416BC7","20250831","1"
"06416BC7","20250901","1"
"6DA352A0","20250804","1"
"6DA352A0","20250805","1"
"6DA352A0","20250807","1"
"6DA352A0","20250808","1"
"6DA352A0","20250811","1"
"6DA352A0","20250812","1"
"6DA352A0","20250813","1"
"6DA352A0","20250814","1"
"6DA352A0","20250815","1"
"6DA352A0","20250818","1"
"6DA352A0","20250819","1"
"6DA352A0","20250820","1"
"6DA352A0","20250821","1"
"6DA352A0","20250822","1"
"6DA352A0","20250825","1"
"6DA352A0","20250826","1"
"6DA352A0","20250827","1"
"6DA352A0","20250828","1"
"6DA352A0","20250829","1"
"6565BA37","20250806","1"
"43972925","20250804","1"
"43972925","20250805","1"
"43972925","20250807","1"
"43972925","20250811","1"
"43972925","20250812","1"
"43972925","20250814","1"
"43972925","20250815","1"
"43972925","20250818","1"
"43972925","20250819","1"
"43972925","20250820","1"
"43972925","20250821","1"
"43972925","20250825","1"
"43972925","20250826","1"
"43972925","20250827","1"
"43972925","20250828","1"
"43972925","20250829","1"
