from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246089224608951+1539247+1,246089224608951+1539262+1,1,
20,20,,,246092124609233+1539249+1,246092124609233+1539264+1,1,
20,20,,,246093424609374+1539249+1,246092724610004+1539264+1,1,
20,20,,,246094224609442+1539252+1,246092724610002+1539264+1,1,
20,20,,,246096224610003+1539260+1,246092724610003+1539264+1,1,
20,20,,,246088924609035+1539246+1,246088924609035+1539261+1,1,
20,20,,,246091624609164+1539249+1,246090624609164+1539264+1,1,
20,20,,,246093424609372+1539249+1,246092724610002+1539264+1,1,
20,20,,,246092424609315+1539255+1,246092424609315+1539267+1,1,
20,20,,,246095524609584+1539258+1,246092724610004+1539264+1,1,
20,20,,,246096224610001+1539260+1,246092724610001+1539264+1,1,
20,20,,,246089224608952+1539247+1,246089224608952+1539262+1,1,
20,20,,,246089924609011+1539248+1,246089924609011+1539263+1,1,
20,20,,,246090624609082+1539249+1,246090624609162+1539264+1,1,
20,20,,,246092724609271+1539249+1,246092724610001+1539264+1,1,
20,20,,,246093424609371+1539249+1,246092724610001+1539264+1,1,
20,20,,,246092824609304+1539252+1,246092724610004+1539264+1,1,
20,20,,,246094224609443+1539252+1,246092724610003+1539264+1,1,
20,20,,,246093824609385+1539256+1,246093824609385+1539268+1,1,
20,20,,,246095524609583+1539258+1,246092724610003+1539264+1,1,
20,20,,,246090624609081+1539249+1,246090624609161+1539264+1,1,
20,20,,,246094824609511+1539249+1,246092724610001+1539264+1,1,
20,20,,,246094824609512+1539249+1,246092724610002+1539264+1,1,
20,20,,,246091324609142+1539252+1,246090624609162+1539264+1,1,
20,20,,,246091524609153+1539253+1,246090624609163+1539264+1,1,
20,20,,,246092124609234+1539249+1,246092124609234+1539264+1,1,
20,20,,,246094824609514+1539249+1,246092724610004+1539264+1,1,
20,20,,,246090924609094+1539250+1,246090624609164+1539264+1,1,
20,20,,,246096224610002+1539260+1,246092724610002+1539264+1,1,
20,20,,,246096224610004+1539260+1,246092724610004+1539264+1,1,
20,20,,,246089224608954+1539247+1,246089224608954+1539262+1,1,
20,20,,,246090224609024+1539247+1,246090224609024+1539262+1,1,
20,20,,,246089924609012+1539248+1,246089924609012+1539263+1,1,
20,20,,,246092124609232+1539249+1,246092124609232+1539264+1,1,
20,20,,,246093424609373+1539249+1,246092724610003+1539264+1,1,
20,20,,,246094824609513+1539249+1,246092724610003+1539264+1,1,
20,20,,,246092824609302+1539252+1,246092724610002+1539264+1,1,
20,20,,,246092824609303+1539252+1,246092724610003+1539264+1,1,
20,20,,,246095524609582+1539258+1,246092724610002+1539264+1,1,
20,20,,,246095924610015+1539259+1,246095924610015+1539269+1,1,
20,20,,,246089924609013+1539248+1,246089924609013+1539263+1,1,
20,20,,,246091024609105+1539251+1,246091024609105+1539265+1,1,
20,20,,,246094224609444+1539252+1,246092724610004+1539264+1,1,
20,20,,,246091724609175+1539254+1,246091724609175+1539266+1,1,
20,20,,,246095524609581+1539258+1,246092724610001+1539264+1,1,
20,20,,,246089224608953+1539247+1,246089224608953+1539262+1,1,
20,20,,,246090624609083+1539249+1,246090624609163+1539264+1,1,
20,20,,,246094124609411+1539249+1,246092724610001+1539264+1,1,
20,20,,,246091324609141+1539252+1,246090624609161+1539264+1,1,
20,20,,,246094524609525+1539257+1,246094524609525+1539267+1,1,
20,20,,,246090624609082+1539350+1,246090624609082+1543540+1,1,
20,20,,,246094224609444+1539351+1,246094224609444+1543541+1,1,
20,20,,,246091524609153+1539352+1,246091524609153+1543542+1,1,
20,20,,,246089224608951+1539348+1,246089224608951+1543538+1,1,
20,20,,,246090624609083+1539350+1,246090624609083+1543540+1,1,
20,20,,,246091624609164+1539350+1,246091624609164+1543540+1,1,
20,20,,,246094124609411+1539350+1,246094124609411+1543540+1,1,
20,20,,,246094824609511+1539350+1,246094824609511+1543540+1,1,
20,20,,,246094224609442+1539351+1,246094224609442+1543541+1,1,
20,20,,,246096224610001+1539350+1,246096224610001+1543540+1,1,
20,20,,,246095524609584+1539357+1,246095524609584+1543543+1,1,
20,20,,,246088924609105+1539347+1,246091024609105+1539531+1,1,
20,20,,,246089924609013+1539349+1,246089924609013+1543539+1,1,
20,20,,,246092124609232+1539350+1,246092124609232+1543540+1,1,
20,20,,,246094824609514+1539350+1,246094824609514+1543540+1,1,
20,20,,,246096224610002+1539350+1,246096224610002+1543540+1,1,
20,20,,,246091324609141+1539351+1,246091324609141+1543541+1,1,
20,20,,,246091324609142+1539351+1,246091324609142+1543541+1,1,
20,20,,,246092824609304+1539351+1,246092824609304+1543541+1,1,
20,20,,,246092424609315+1539354+1,246092424609245+1539533+1,1,
20,20,,,246088924609105+1539347+1,246088924608895+1539529+1,1,
20,20,,,246089224608952+1539348+1,246089224608952+1543538+1,1,
20,20,,,246092124609234+1539350+1,246092124609234+1543540+1,1,
20,20,,,246093424609372+1539350+1,246093424609372+1543540+1,1,
20,20,,,246094824609512+1539350+1,246094824609512+1543540+1,1,
20,20,,,246096224610004+1539350+1,246096224610004+1543540+1,1,
20,20,,,246090924609094+1539351+1,246090924609094+1543541+1,1,
20,20,,,246092824609303+1539351+1,246092824609303+1543541+1,1,
20,20,,,246094224609443+1539351+1,246094224609443+1543541+1,1,
20,20,,,246091724609175+1539353+1,246091724609175+1539532+1,1,
20,20,,,246092424609315+1539354+1,246093124609315+1539534+1,1,
20,20,,,246094524609525+1539356+1,246095224609525+1539534+1,1,
20,20,,,246095524609582+1539357+1,246095524609582+1543543+1,1,
20,20,,,246095924610015+1539358+1,246095924610015+1539536+1,1,
20,20,,,246090224609024+1539348+1,246090224609024+1543538+1,1,
20,20,,,246089924609012+1539349+1,246089924609012+1543539+1,1,
20,20,,,246090624609081+1539350+1,246090624609081+1543540+1,1,
20,20,,,246093424609371+1539350+1,246093424609371+1543540+1,1,
20,20,,,246094824609513+1539350+1,246094824609513+1543540+1,1,
20,20,,,246096224610003+1539350+1,246096224610003+1543540+1,1,
20,20,,,246093824609385+1539355+1,246093824609385+1539535+1,1,
20,20,,,246088924609105+1539347+1,246089624608965+1539530+1,1,
20,20,,,246088924609105+1539347+1,246090324609035+1539529+1,1,
20,20,,,246089224608954+1539348+1,246089224608954+1543538+1,1,
20,20,,,246089924609011+1539349+1,246089924609011+1543539+1,1,
